Team Secret,1,Nisha,2000-09-28
Team Secret,2,MidOne,1996-06-03
Team Secret,3,Zai,1997-08-05
Team Secret,4,YapzOr,1994-10-17
Team Secret,5,Puppey,1990-03-06
Virtus.pro,1,RAMZES666,1999-04-25
Virtus.pro,2,Noone,1997-09-04
Virtus.pro,3,9pasha,1992-06-30
Virtus.pro,4,RodjER,1993-12-14
Virtus.pro,5,Solo,1990-08-07
Team Secret,1,Nisha,2000-09-28
Team Secret,2,MidOne,1996-06-03
Team Secret,3,Zai,1997-08-05
Team Secret,4,YapzOr,1994-10-17
Team Secret,5,Puppey,1990-03-06
Virtus.pro,1,RAMZES666,1999-04-25
Virtus.pro,2,Noone,1997-09-04
Virtus.pro,3,9pasha,1992-06-30
Virtus.pro,4,RodjER,1993-12-14
Virtus.pro,5,Solo,1990-08-07
Vici Gaming,1,Paparazi灬,1996-06-27
Vici Gaming,2,Ori,N/A
Vici Gaming,3,Yang,1996-11-15
Vici Gaming,4,Fade (player),1996-07-28
Vici Gaming,5,Dy,1997-05-11
Evil Geniuses,1,Arteezy,1996-07-01
Evil Geniuses,2,SumaiL,1999-02-13
Evil Geniuses,3,S4,1992-04-01
Evil Geniuses,4,Cr1t-,1996-07-13
Evil Geniuses,5,Fly,1993-03-09
Team Liquid,1,Miracle-,1997-06-20
Team Liquid,2,W33,1995-03-06
Team Liquid,3,MinD ContRoL,1995-01-20
Team Liquid,4,GH,1995-06-17
Team Liquid,5,KuroKy,1992-10-28
PSG.LGD,1,Ame,1997-04-07
PSG.LGD,2,Somnus丶M,1995-12-16
PSG.LGD,3,Chalice,1998-08-16
PSG.LGD,4,Fy,1995-02-12
PSG.LGD,5,XNova,1997-10-01
Fnatic,1,Jabz,1998-09-22
Fnatic,2,Abed,2000-08-02
Fnatic,3,Iceiceice,1990-06-17
Fnatic,4,DJ,1994-11-06
Fnatic,5,DuBu,1993-07-12
Ninjas in Pyjamas,1,Ace,1994-01-19
Ninjas in Pyjamas,2,Fata,1993-02-24
Ninjas in Pyjamas,3,33,1997-04-17
Ninjas in Pyjamas,4,Saksa,1995-06-12
Ninjas in Pyjamas,5,Ppd,1991-11-02
TNC Predator,1,Gabbi,1998-08-01
TNC Predator,2,Armel,2000-01-20
TNC Predator,3,Kuku,1996-09-21
TNC Predator,4,Tims,1997-07-04
TNC Predator,5,Eyyou,N/A
OG,1,Ana,1999-10-26
OG,2,Topson,1998-04-14
OG,3,7ckngMad,1992-05-11
OG,4,JerAx,1992-05-07
OG,5,N0tail,1993-10-08
Alliance,1,MiCKe,1999-07-26
Alliance,2,Qojqva,1995-09-27
Alliance,3,Boxi,1998-04-10
Alliance,4,INSaNiA,1994-06-18
Alliance,5,Taiga,1999-07-04
Keen Gaming,1,Old chicken,1993-05-26
Keen Gaming,2,一,1996-04-23
Keen Gaming,3,ELeVeN,1995-12-07
Keen Gaming,4,Kaka,1992-11-07
Keen Gaming,5,Dark,N/A
Forward Gaming,1,YawaR,1997-04-03
Forward Gaming,2,CCnC,N/A
Forward Gaming,3,Sneyking,1995-05-03
Forward Gaming,4,MSS,1995-11-28
Forward Gaming,5,Pieliedie,1991-08-05
Infamous,1,K1,2000-11-10
Infamous,2,Chris Luck,N/A
Infamous,3,Wisper,N/A
Infamous,4,Scofield,1998-04-29
Infamous,5,Stinger,1996-12-04
Chaos Esports Club,1,VtFαded,1998-07-31
Chaos Esports Club,2,MATUMBAMAN,1995-03-03
Chaos Esports Club,3,KheZu,1995-04-27
Chaos Esports Club,4,MiLAN,1995-06-23
Chaos Esports Club,5,MISERY,1991-07-14
Natus Vincere,1,Crystallize,1999-08-08
Natus Vincere,2,MagicaL,1998-10-25
Natus Vincere,3,Blizzy,1995-01-05
Natus Vincere,4,Zayac,1998-12-02
Natus Vincere,5,SoNNeikO,1997-05-16
Royal Never Give Up,1,Monet,1999-09-25
Royal Never Give Up,2,Setsu,1999-02-14
Royal Never Give Up,3,Flyby,1997-03-10
Royal Never Give Up,4,LaNm,1989-12-25
Royal Never Give Up,5,Ah fu,1994-06-06
Mineski,1,Nikobaby,N/A
Mineski,2,Moon (Kam Boon Seng),1995-02-12
Mineski,3,Kpii,1998-04-13
Mineski,4,Bimbo,1995-11-15
Mineski,5,Ninjaboogie,1992-01-31
