Team Liquid,1,MiCKe,July 26, 1999 (age 24)
Team Liquid,2,Nisha,September 28, 2000 (age 22)
Team Liquid,3,Zai,August  5, 1997 (age 26)
Team Liquid,4,Boxi,April 10, 1998 (age 25)
Team Liquid,5,Insania,June 18, 1994 (age 29)
Gaimin Gladiators,1,Dyrachyo,September  5, 2001 (age 21)
Gaimin Gladiators,2,Quinn,September  9, 1999 (age 23)
Gaimin Gladiators,3,Ace,January 19, 1994 (age 29)
Gaimin Gladiators,4,TOfu (German player),August 14, 1996 (age 27)
Gaimin Gladiators,5,Seleri,July  3, 1999 (age 24)
Tundra Esports,1,Skiter,September 12, 1998 (age 24)
Tundra Esports,2,Nine,May 11, 1998 (age 25)
Tundra Esports,3,33,April 17, 1997 (age 26)
Tundra Esports,4,Saksa,June 12, 1995 (age 28)
Tundra Esports,5,Sneyking,May  3, 1995 (age 28)
9Pandas,1,RAMZES666,April 25, 1999 (age 24)
9Pandas,2,Kiyotaka,August 19, 2004 (age 19)
9Pandas,3,MieRo`,July 28, 2003 (age 20)
9Pandas,4,Antares,October  7, 2002 (age 20)
9Pandas,5,Solo,August  7, 1990 (age 33)
Evil Geniuses,1,Pakazs,August  6, 2001 (age 22)
Evil Geniuses,2,Chris Luck,October 20, 1997 (age 25)
Evil Geniuses,3,Wisper,November  3, 2001 (age 21)
Evil Geniuses,4,Matthew,July 19, 1998 (age 25)
Evil Geniuses,5,Pandaboo,May 19, 2000 (age 23)
PSG.LGD,1,Shiro,March 23, 2001 (age 22)
PSG.LGD,2,NothingToSay,December 21, 2000 (age 22)
PSG.LGD,3,Niu,September 29, 2000 (age 22)
PSG.LGD,4,Planet,June 24, 1998 (age 25)
PSG.LGD,5,Y`,August  8, 1998 (age 25)
Shopify Rebellion,1,Arteezy,July  1, 1996 (age 27)
Shopify Rebellion,2,Abed,August  2, 2000 (age 23)
Shopify Rebellion,3,SabeRLight-,October 13, 2000 (age 22)
Shopify Rebellion,4,Cr1t-,July 13, 1996 (age 27)
Shopify Rebellion,5,Fly,March  9, 1993 (age 30)
Talon Esports,1,23savage,March 27, 2002 (age 21)
Talon Esports,2,Mikoto,February 28, 2000 (age 23)
Talon Esports,3,Jabz,September 22, 1998 (age 24)
Talon Esports,4,Q (Thai player),March  5, 1998 (age 25)
Talon Esports,5,Oli~,January  9, 1995 (age 28)
beastcoast,1,Parker,July  6, 2002 (age 21)
beastcoast,2,DarkMago,April 11, 1999 (age 24)
beastcoast,3,Sacred (Peruvian player),October  9, 2000 (age 22)
beastcoast,4,Scofield,April 29, 1998 (age 25)
beastcoast,5,Stinger,December  4, 1996 (age 26)
Team Spirit,1,Yatoro,March 12, 2003 (age 20)
Team Spirit,2,Larl,January 22, 2002 (age 21)
Team Spirit,3,Collapse (Russian player),February 25, 2002 (age 21)
Team Spirit,4,Mira,November  3, 1999 (age 23)
Team Spirit,5,Miposhka,November 30, 1997 (age 25)
TSM,1,Timado,September  6, 2000 (age 22)
TSM,2,Bryle,January 28, 2001 (age 22)
TSM,3,Kasane,January 11, 2003 (age 20)
TSM,4,Ari,January 24, 2003 (age 20)
TSM,5,Whitemon,July 22, 2000 (age 23)
BetBoom Team,1,Nightfall,May 16, 2002 (age 21)
BetBoom Team,2,Gpk~,August 23, 2001 (age 22)
BetBoom Team,3,Pure~,February  6, 2004 (age 19)
BetBoom Team,4,Save-,February  4, 2002 (age 21)
BetBoom Team,5,TORONTOTOKYO,April 30, 1997 (age 26)
nouns,1,K1,November 10, 2000 (age 22)
nouns,2,Gunnar,January 14, 2000 (age 23)
nouns,3,Moo,November  9, 1995 (age 27)
nouns,4,Lelis,November 24, 1996 (age 26)
nouns,5,Yamsun,June 15, 2001 (age 22)
Keyd Stars,1,Costabile,January 11, 1995 (age 28)
Keyd Stars,2,4nalog,March 30, 2001 (age 22)
Keyd Stars,3,Fcr,May 24, 2001 (age 22)
Keyd Stars,4,Kingrd,January  2, 1992 (age 31)
Keyd Stars,5,KJ,October 23, 1999 (age 23)
Thunder Awaken,1,Knight~,August  3, 2001 (age 22)
Thunder Awaken,2,SLATEM$,June  9, 2004 (age 19)
Thunder Awaken,3,ILICH-,N/A
Thunder Awaken,4,N1ght,N/A
Thunder Awaken,5,Mjz,August 23, 2000 (age 23)
Entity,1,Watson,April 30, 2002 (age 21)
Entity,2,Stormstormer,April 26, 1998 (age 25)
Entity,3,Gabbi,August  1, 1998 (age 25)
Entity,4,Kataomi`,August  1, 1999 (age 24)
Entity,5,Fishman,September 20, 1995 (age 27)
Quest Esports,1,TA2000,May 22, 2000 (age 23)
Quest Esports,2,No!ob,September  6, 2000 (age 22)
Quest Esports,3,Tobi (Austrian player),December 20, 1996 (age 26)
Quest Esports,4,OmaR,November 28, 2002 (age 20)
Quest Esports,5,Kaori,July 19, 2002 (age 21)
Virtus.pro,1,Kiritych~,February 21, 2003 (age 20)
Virtus.pro,2,Squad1x,June 14, 2003 (age 20)
Virtus.pro,3,Noticed,August  6, 2002 (age 21)
Virtus.pro,4,Sayuw,August 26, 1997 (age 26)
Virtus.pro,5,Fng,September 24, 1995 (age 27)
Azure Ray,1,Lou,August 18, 2001 (age 22)
Azure Ray,2,Somnus,December 16, 1995 (age 27)
Azure Ray,3,Chalice,August 16, 1998 (age 25)
Azure Ray,4,Fy,February 12, 1995 (age 28)
Azure Ray,5,天命,March  1, 1996 (age 27)
Team SMG,1,MidOne,June  3, 1996 (age 27)
Team SMG,2,Noone,September  4, 1997 (age 25)
Team SMG,3,Masaros,August 27, 1997 (age 26)
Team SMG,4,Ah fu,June  6, 1994 (age 29)
Team SMG,5,Jaunuel,October 18, 1998 (age 24)
